variant,threshold,n_total,n_high_conf,high_conf_coverage,n_high_conf_error,high_conf_error_rate,n_error_total,n_high_conf_false_negative,high_conf_false_negative_rate,n_false_negative_total,fraction_of_fn_in_high_conf
id_val,0.9,500,469,0.938,9,0.019189765458422176,18,6,0.01279317697228145,14,0.42857142857142855
id_val,0.95,500,457,0.914,6,0.01312910284463895,18,3,0.006564551422319475,14,0.21428571428571427
id_val,0.99,500,405,0.81,3,0.007407407407407408,18,2,0.0049382716049382715,14,0.14285714285714285
ood_val_raw,0.9,2000,1049,0.5245,278,0.2650142993326978,761,222,0.21163012392755004,595,0.373109243697479
ood_val_raw,0.95,2000,806,0.403,169,0.20967741935483872,761,133,0.16501240694789082,595,0.2235294117647059
ood_val_raw,0.99,2000,477,0.2385,47,0.09853249475890985,761,33,0.06918238993710692,595,0.05546218487394958
ood_val_calibrated,0.9,2000,256,0.128,6,0.0234375,761,0,0.0,595,0.0
ood_val_calibrated,0.95,2000,139,0.0695,1,0.007194244604316547,761,0,0.0,595,0.0
ood_val_calibrated,0.99,2000,10,0.005,0,0.0,761,0,0.0,595,0.0
