variant,score_col,n,n_error,n_correct,error_rate,error_detection_auroc,mean_uncertainty_correct,mean_uncertainty_error
id_val,uncertainty_confidence,500,18,482,0.036,0.9266943291839558,0.013306370538300003,0.1688557333416409
id_val,entropy,500,18,482,0.036,0.9266943291839557,0.04049349109475646,0.3576828572944857
id_val,uncertainty_margin,500,18,482,0.036,0.9266943291839557,0.026612739129257573,0.33771148001283613
id_val,energy,500,18,482,0.036,0.9258875057630245,-4.858879636360811,-1.8996975166287067
ood_val_raw,uncertainty_confidence,2000,761,1239,0.3805,0.6882632872298566,0.1179844269933385,0.19630792036006392
ood_val_raw,entropy,2000,761,1239,0.3805,0.6882632872298566,0.26208264823048544,0.4182014695502865
ood_val_raw,uncertainty_margin,2000,761,1239,0.3805,0.6882632872298566,0.23596885118292785,0.3926158410414555
ood_val_raw,energy,2000,761,1239,0.3805,0.6742742175825318,-2.747373778215543,-1.655668335922646
ood_val_calibrated,uncertainty_confidence,2000,761,1239,0.3805,0.6882632872298566,0.26009337915539066,0.35849372347457026
ood_val_calibrated,entropy,2000,761,1239,0.3805,0.6882632872298566,0.507293605873112,0.6300552941542068
ood_val_calibrated,uncertainty_margin,2000,761,1239,0.3805,0.6882632872298566,0.5201867579465959,0.71698744369869
ood_val_calibrated,energy,2000,761,1239,0.3805,0.6583304962778893,-1.1565240604693467,-0.9096077997990657
