model,variant,confidence_threshold,n_total,n_high_conf,n_high_conf_false_negative,high_conf_false_negative_rate,n_false_negative_total,fraction_of_fn_in_high_conf
plain ERM,raw,0.9,2000,1049,222,0.21163012392755004,595,0.373109243697479
plain ERM,raw,0.95,2000,806,133,0.16501240694789082,595,0.2235294117647059
plain ERM,raw,0.99,2000,477,33,0.06918238993710692,595,0.05546218487394958
plain ERM,calibrated,0.9,2000,256,0,0.0,595,0.0
plain ERM,calibrated,0.95,2000,139,0,0.0,595,0.0
plain ERM,calibrated,0.99,2000,10,0,0.0,595,0.0
stain-aug ERM,raw,0.9,2000,1142,399,0.34938704028021017,904,0.4413716814159292
stain-aug ERM,raw,0.95,2000,763,181,0.23722149410222804,904,0.2002212389380531
stain-aug ERM,raw,0.99,2000,266,4,0.015037593984962405,904,0.004424778761061947
stain-aug ERM,calibrated,0.9,2000,77,0,0.0,904,0.0
stain-aug ERM,calibrated,0.95,2000,13,0,0.0,904,0.0
stain-aug ERM,calibrated,0.99,2000,0,0,,904,0.0
