decision_item,status,selected_value,evidence_source,rationale,remaining_risk,needs_user_authorization_before_ood_test
primary model,proposed_frozen,7F GroupDRO-by-center,8B/8C full-dev ood_val (AUROC 0.8956),Only controlled DG lever to beat its matched control on OOD; best on every full-dev axis.,No held-out test estimate yet (ood_test unread).,yes
matched control,proposed_frozen,7F center-stratified ERM,docs/FROZEN_DECISIONS.md F-6; 8B/8C,"Only fair baseline (same sound 7F-1 cache, matched init/seed/schedule).",Development-stage only.,yes
model checkpoints,frozen,results/checkpoints/exp07f_groupdro_resnet18/best.pt ; results/checkpoints/exp07f_centerstrat_erm_resnet18/best.pt,Milestone 7F (reload-verified 1e-5); 8B exact-path verified,Exact frozen checkpoint files; loaded read-only when later authorized.,None if hash matches at test time (see FT-1).,no
development calibration temperatures,frozen,GroupDRO T=2.974907 ; ERM T=3.496293,results/metrics/exp08c_full_dev_calibration/temperature.json,Pre-frozen 8C development temperatures; applied (not refit) if test authorized.,Fit+eval on same ood_val (R7) — not an independent-test calibration claim.,no
threshold-free metrics,frozen,"AUROC, AUPRC",8A protocol; 8B/8C metric outputs,Ranking metrics are the primary threshold-free evidence; argmax-invariant.,None.,no
candidate operating-point family,frozen,id_val-selected; spec 0.80/0.85/0.90/0.95; sens 0.80/0.90/0.95,results/tables/exp08b_candidate_operating_points.csv,Selected on id_val only; reported as candidate/context.,Not a committed clinical threshold.,no
final clinical threshold,not_frozen,NONE committed,docs/FROZEN_DECISIONS.md N-2,No deployable operating point chosen; separate gated step.,Committing one requires a later decision on ood_val.,yes
calibration fitting on ood_test,forbidden,NEVER,docs/FINAL_TEST_STOP_RULES.md FT-5,Fitting T on the test set would leak the test; use frozen 8C T only.,N/A — forbidden.,yes
model-based uncertainty,not_frozen,DEFERRED / optional,docs/PRE_FINAL_EVALUATION_AUDIT.md §10,MC-dropout/ensembles not required to freeze the candidate; requires inference.,Would need separate approval + inference.,yes
CORAL/DANN,not_frozen,optional; not added,docs/PRE_FINAL_EVALUATION_AUDIT.md §11; R3 residual,Not required before test; would broaden DG breadth; requires training.,R3 residual (DG breadth) stays open.,yes
ood_test execution,forbidden,LOCKED until authorization template completed,CLAUDE.md §5 rule 3; docs/OOD_TEST_AUTHORIZATION_TEMPLATE.md,Single one-time run only after explicit written authorization.,Irreversible one-shot; must be run under frozen protocol.,yes
